"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
647,"Basia Krissy",3800,3227,3236,416,157,0,140,100.32,1.75,"PC - 2","Level 7","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
648,"Helenka Gwenny",616,535,112,8,73,0,447,10.46,0.25,"PC - 2","Level 8","Location 9","Serving Notice Period","Orelee Hanna","Client Service Staff",Resigned
649,"Angelika Lynett",3800,3274.5,2464.5,408,117.5,0,1181.5,75.67,1.75,"PC - 3","Level 8","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
650,"Jacqui Willie",3800,3228,2811,408,164,0,1360,87.74,1.75,"PC - 3","Level 8","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
651,"Charla Anthea",3800,3341.25,2896,360,98.75,0,562.5,86.57,1.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Vinni Calypso","Client Service Staff",Active
652,"Rhea Roshelle",1680,1444.5,810,184,51.5,0,642.5,28.04,0.75,"PC - 1","Level 8","Location 3","Serving Notice Period","Sybil Georgianna","Client Service Staff",Resigned
653,"Chrissie Ivie",3800,3391.5,1720,336,72.5,0,1692,49.06,1.75,"PC - 1","Level 6","Location 3","Confirmed Staff","Katuscha Pru","Client Service Staff",Active
654,"Carlen Donnamarie",3800,3169,2426,496,135,0,834,75.16,1.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Dionne Ronna","Client Service Staff",Active
655,"Abigail Amabel",3760,3479,1728.5,248,33,0,1776,44.28,1.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Iormina Lucienne","Client Service Staff",Active
656,"Maddi Lyndsey",3760,3237,2868,424,99,0,569.5,87.34,1.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Isahella Gwendolin","Client Service Staff",Active
657,"Sayre Nadya",3760,3230,2959.4,452,78,16,625.6,89.58,1.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
658,"Charmain Ashlie",3760,3368,2960,344,48,0,467,86.6,1.75,"PC - 3","Level 6","Location 1","Confirmed Staff","Kalindi Toma","Client Service Staff",Active
659,"Julianne Julina",3760,3305,3100,424,31,0,365,93.58,1.75,"PC - 5","Level 7","Location 1","Confirmed Staff","Morgen Hailee","Client Service Staff",Active
660,"Leandra Filide",3760,3327,2910,352,81,0,532,86.32,1.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
661,"Mollee Pearle",3760,3094.5,2018,605,60.5,108,1115,62.34,1.75,"PC - 5","Level 8","Location 7","Confirmed Staff","Hedwiga Mehetabel","Client Service Staff",Active
662,"Alvera Gerianna",3720,3174.4,3001,448,97.6,0,344.4,93.58,1.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Rosalynd Catina","Client Service Staff",Active
663,"Ranique Aundrea",3720,3239,3042,400,81,0,415,93.36,1.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Cynthia Leonora","Client Service Staff",Active
664,"Brandi Priscella",848,736,232,64,48,0,552,15.76,0.42,"PC - 1","Level 8","Location 3","Serving Notice Period","Vinni Calypso","Client Service Staff",Resigned
665,"Paula Bridie",3720,3181,2400,464,75,0,825,72.77,1.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Gisella Nickie","Client Service Staff",Active
666,"Adore Ellen",3720,3321,3250,350,49,0,239,97.92,1.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
667,"Evangelina Emelita",3720,3303,2743.5,336,81,0,568,82.77,1.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Conni Athene","Client Service Staff",Active
668,"Lauryn Claretta",3720,3126.9,3365.5,416,177.1,0,123.5,106.36,1.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Ophelie Jyoti","Client Service Staff",Active
669,"Bibi Mallory",3720,3233.5,2904.5,360,126.5,0,446,88.43,1.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
670,"Tanya Ilysa",3720,3205,2779,432,83,0,917,83.23,1.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Cynthia Leonora","Client Service Staff",Active
671,"Lenora Nydia",3680,3341,538.5,240,99,2702,120,15.65,1.75,"PC - 2","Level 3","Location 9","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
672,"Hayley Maurizia",2520,2143.5,770,264,112.5,561,245,38.5,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
673,"Lorelle Willi",2800,2474.5,2255,244,81.5,0,331,91.36,1.67,"PC - 2","Level 7","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
674,"Gwenneth Edee",3640,3325,2910,280,35,0,531,85.38,1.67,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
675,"Josy Latrina",3640,3284,2724,280,76,0,689,80.41,1.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Nerissa Jackquelin","Client Service Staff",Active
676,"Lenka Cilka",3640,3203.5,2350.4,336,100.5,0,1194.1,69.8,1.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Nerissa Jackquelin","Client Service Staff",Active
677,"Randa Sonny",3640,3356,2288,272,12,0,1196,66.56,1.67,"PC - 3","Level 6","Location 1","Confirmed Staff","Hedi Elna","Client Service Staff",Active
678,"Cathee Ruthann",1432,1368,72,48,16,0,1272,2.63,0.67,"PC - 3","Level 6","Location 4","Serving Notice Period","Hedi Elna","Client Service Staff",Resigned
679,"Melisent Twyla",880,760,753.85,56,64,0,64,49.6,0.42,"PC - 3","Level 8","Location 1","Serving Notice Period","Misti Helena","Client Service Staff",Resigned
680,"Clarette Marijo",432,366.5,0,32,33.5,0,334.5,0,0.17,"PC - 7","Level 8","Location 6","Serving Notice Period","Bernice Andrea","Client Service Staff",Resigned
681,"Xena Hedwig",3640,3222.5,2875.5,372,45.5,0,403,87.86,1.67,"PC - 2","Level 7","Location 7","Confirmed Staff","Nancee Deirdre","Client Service Staff",Active
682,"Ilyssa Muriel",3640,2939.84,2670,599,101.16,0,1019.84,87.62,1.67,"PC - 2","Level 8","Location 7","Confirmed Staff","Chris Ricky","Client Service Staff",Active
683,"Ileane Marcela",3640,3069.09,2475.92,448,122.91,8,1153.59,79.51,1.67,"PC - 2","Level 8","Location 7","Confirmed Staff","Chris Ricky","Client Service Staff",Active
684,"Herminia Barby",1760,1519,951,200,41,0,576,61.86,0.83,"PC - 1","Level 8","Location 3","Serving Notice Period","Gisella Nickie","Client Service Staff",Resigned
685,"Ailey Paloma",3520,3264,3264,192,64,0,41,100,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Rosalynd Catina","Client Service Staff",Active
686,"Wilhelmine Sibilla",1600,1409,1092,168,23,0,337,41.08,1.67,"PC - 3","Level 8","Location 1","Awaiting Termination","Kathye Edna","Client Service Staff",Active
687,"Cinderella Idette",3600,3298,2286,280,22,0,1364,70.54,1.67,"PC - 5","Level 8","Location 3","Confirmed Staff","Gavra Kayle","Client Service Staff",Active
688,"Ella Liana",3600,3352,2156,232,16,0,1388,63.1,1.67,"PC - 5","Level 8","Location 3","Confirmed Staff","Luciana Erika","Client Service Staff",Active
689,"Appolonia Phebe",3600,3248,2826,336,16,0,502,87.12,1.67,"PC - 5","Level 8","Location 3","Confirmed Staff","Gavra Kayle","Client Service Staff",Active
690,"Justinn Angil",3600,3143,2131,408,49,0,1095,60.8,1.67,"PC - 1","Level 6","Location 3","Secondee-Outward-With Pay","Alvinia Ede","Client Service Staff",Secondment
691,"Fernande Lettie",3600,3215,3060,288,97,0,200,93.77,1.67,"PC - 5","Level 8","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
692,"Carma Corrinne",432,260,116,96,76,0,184,22.31,0.17,"PC - 5","Level 8","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Resigned
693,"Brigit Aeriel",3600,2928,2923,624,48,0,27,99.74,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Misti Helena","Client Service Staff",Active
694,"Corella Sydney",3600,3018.5,2891.5,488,93.5,0,400.5,94.35,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Nanine Prudy","Client Service Staff",Active
695,"Kelsey Merola",3600,3115,3197,376,109,0,138.5,102.43,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Nanine Prudy","Client Service Staff",Active
696,"Anne-Corinne Rennie",2136,1900,1887,152,84,0,77,98.8,1.67,"PC - 5","Level 8","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Active
697,"Debera Fran",3560,2954.25,2753,480,125.75,0,402.5,93.15,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Zaneta Arlette","Client Service Staff",Active
698,"Ag Koo",3560,2943.5,2684,464,152.5,0,572,90.16,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Iormina Lucienne","Client Service Staff",Active
699,"Torey Anestassia",3560,3024.5,2698,424,111.5,0,857.5,82.44,1.67,"PC - 1","Level 8","Location 3","Confirmed Staff","Margo Opaline","Client Service Staff",Active
700,"Yolanthe Laurella",3560,3138,1283,336,86,0,2551,35.72,1.67,"PC - 3","Level 5","Location 1","Confirmed Staff","Marina Garnette","Client Service Staff",Active
701,"Gilberta Marianna",3560,2880,2347,496,184,96,793,81.44,1.67,"PC - 3","Level 8","Location 4","Confirmed Staff","Genvieve Celeste","Client Service Staff",Active
702,"Kally Thia",3560,3143.5,2933,312,104.5,0,462.5,92.5,1.67,"PC - 3","Level 8","Location 2","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
703,"Gunilla Lilli",3520,3239.5,2640,256,24.5,270,504,81.88,1.67,"PC - 3","Level 8","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
704,"Glen Emelia",864,723,728,96,45,0,161.5,50.34,0.42,"PC - 3","Level 8","Location 1","Serving Notice Period","Kristina Alleen","Client Service Staff",Resigned
705,"Jenelle Willy",2296,2036.5,1228,176,83.5,0,892,61.52,1.67,"PC - 1","Level 7","Location 3","Confirmed Staff","Blondy Tatiania","Client Service Staff",Active
706,"Blithe Ebba",3520,3064,2608,424,32,0,568,85.46,1.67,"PC - 5","Level 8","Location 3","Confirmed Staff","Luciana Erika","Client Service Staff",Active
707,"Ilsa Marigold",3480,2955.85,754,352,172.15,0,2247.85,25.08,1.58,"PC - 1","Level 5","Location 3","Confirmed Staff","Alvinia Ede","Client Service Staff",Active
708,"Camille Kiersten",3480,3001.5,3266.5,376,102.5,4,284,107.36,1.58,"PC - 2","Level 8","Location 9","Confirmed Staff","Imelda Madalena","Client Service Staff",Active
709,"Jacinthe Vally",480,392,190,40,48,0,242,24.24,0.17,"PC - 1","Level 6","Location 3","Serving Notice Period","Ardys Katerine","Client Service Staff",Resigned
710,"Loella Constancia",3360,2536,1842,779,45,0,703,62.67,1.58,"PC - 7","Level 8","Location 6","Confirmed Staff","Bernice Andrea","Client Service Staff",Active
711,"Darla Dre",3360,2960.5,2960.5,320,79.5,0,168,97.44,1.58,"PC - 2","Level 8","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
712,"Florencia Jacquenette",3320,2879,1736,404,37,0,1159,55.22,1.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Kathye Edna","Client Service Staff",Active
713,"Camala Christan",3280,2856.5,3194,408,15.5,0,464.5,115.72,1.50,"PC - 5","Level 8","Location 3","Confirmed Staff","Lian Harley","Client Service Staff",Active
714,"Robinia Adoree",4272,3621,3506,548,103,0,241.5,141.08,1.50,"PC - 2","Level 8","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
715,"Lynn Patti",2552,2520,2376,16,16,0,184,93.59,1.50,"PC - 5","Level 8","Location 1","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
716,"Josi Ula",3200,2750,1674.5,276,174,840,304,62.22,1.50,"PC - 2","Level 5","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
717,"Myranda Pamela",3200,2750.25,791,424,25.75,0,1967.25,22.13,1.50,"PC - 1","Level 7","Location 3","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
718,"Ferdinande Halli",3160,2819.5,2851.5,280,60.5,0,0,101.75,1.50,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
719,"Rhona Pietra",2880,2447,1748,348,85,0,718,72.99,1.50,"PC - 6","Level 8","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
720,"Gayle Tania",3160,2765,2160,288,107,0,1093,75.87,1.50,"PC - 2","Level 7","Location 7","Confirmed Staff","Tamra Joelle","Client Service Staff",Active
721,"Halie Crissy",3040,2728,2120,288,24,0,704,75.74,1.41,"PC - 2","Level 7","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
722,"Alta Adaline",3040,2710,2338,240,90,0,609,88.54,1.41,"PC - 6","Level 8","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
723,"Missie Clemence",3000,2589,2341,256,155,40,331,92.96,1.41,"PC - 6","Level 8","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
724,"Roxanne Sarette",1248,960,784,272,16,0,456,148.22,1.41,"PC - 6","Level 7","Location 3","Confirmed Staff","Stacey Cassey","Client Service Staff",Active
725,"Mellisent Mabelle",2920,2606.75,1989.75,264,49.25,0,617,59.89,1.33,"PC - 1","Level 6","Location 3","Confirmed Staff","Ardys Katerine","Client Service Staff",Active
726,"Doti Enrichetta",2840,2752,2636,56,32,0,116,93.02,1.33,"PC - 1","Level 8","Location 3","Confirmed Staff","Erminie Ericka","Client Service Staff",Active
727,"Helyn Casie",2128,1842,1073,112,174,0,911,40.06,1.33,"PC - 1","Level 6","Location 3","Confirmed Staff","Ardys Katerine","Client Service Staff",Active
728,"Sibelle Karel",1056,904,280,104,48,0,741,23.98,1.33,"PC - 5","Level 8","Location 3","Serving Notice Period","Gavra Kayle","Client Service Staff",Active
729,"Valina Philis",856,616,291,80,160,0,405,28.87,0.41,"PC - 1","Level 7","Location 3","Serving Notice Period","Vinni Calypso","Client Service Staff",Resigned
730,"Mercie Jaquenette",2800,2421,2389,344,35,0,87,96.88,1.33,"PC - 2","Level 8","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
731,"Maddalena Margarette",2760,2712,2692,24,24,0,32,98.08,1.25,"PC - 5","Level 8","Location 1","Staff on Probation","Tommy Muire","Client Service Staff",Active
732,"Catlaina Sonni",1280,672,501,583,25,0,211,71.25,1.25,"PC - 2","Level 8","Location 9","Staff on Probation","Imelda Madalena","Client Service Staff",Active
733,"Lucille Katrinka",2760,2405,1972,328,27,0,433,82.48,1.25,"PC - 1","Level 6","Location 3","Staff on Probation","Ezmeralda Nisse","Client Service Staff",Active
734,"Merrile Libbi",2760,2409,2361,168,183,0,80,94.66,1.25,"PC - 6","Level 8","Location 1","Staff on Probation","Tiena Hatti","Client Service Staff",Active
735,"Janella Maureen",2760,2440.5,2241,248,71.5,0,507.5,67.18,1.25,"PC - 3","Level 8","Location 1","Staff on Probation","Ali Elsinore","Client Service Staff",Active
736,"Sallie Kiah",2760,2542.5,56.2,152,65.5,0,2486.3,1.45,1.25,"PC - 2","Level 5","Location 7","Staff on Probation","Trudey Lissi","Client Service Staff",Active
737,"Kerrin Miquela",2680,2342,1558,272,66,116,771,55.1,1.25,"PC - 3","Level 6","Location 1","Staff on Probation","Nikolia Shirl","Client Service Staff",Active
738,"Hannie Tybi",2680,2468,1908,160,52,0,560,54.42,1.25,"PC - 1","Level 7","Location 3","Staff on Probation","Vinni Calypso","Client Service Staff",Active
739,"Emmie Pavia",2680,2417,1911.5,192,71,0,578,57.26,1.25,"PC - 5","Level 6","Location 3","Staff on Probation","Cherise Lainey","Client Service Staff",Active
740,"Hedy Elora",2280,2037,1856,204,39,0,207,83.71,1.16,"PC - 5","Level 7","Location 1","Staff on Probation","Orsa Margeaux","Client Service Staff",Active
741,"Beatrix Daffi",2600,2218.5,2141,344,37.5,0,277.5,94.75,1.16,"PC - 2","Level 7","Location 9","Staff on Probation","Jolyn Briney","Client Service Staff",Active
742,"Amanda Kara",2600,2472,2667,120,8,0,232,86.99,1.16,"PC - 3","Level 6","Location 1","Staff on Probation","Nikolia Shirl","Client Service Staff",Active
743,"Lilly Devora",2560,2304,2295,176,80,0,42,99.77,1.16,"PC - 1","Level 8","Location 3","Staff on Probation","Erminie Ericka","Client Service Staff",Active
744,"Eden Carry",2560,2245.75,1996,272,42.25,64,276,83.38,1.16,"PC - 1","Level 7","Location 3","Staff on Probation","Sybil Georgianna","Client Service Staff",Active
745,"Josey Rorie",2560,2496,920,40,24,1576,0,22.55,1.16,"PC - 1","Level 5","Location 3","Staff on Probation","Kippy Marquita","Client Service Staff",Active
746,"Kathlin Charis",2480,2204,1885,232,44,0,340,58.04,1.16,"PC - 3","Level 6","Location 1","Staff on Probation","Nikolia Shirl","Client Service Staff",Active
747,"Larina Eileen",2480,1958,1060,506,16,0,958,37.56,1.16,"PC - 5","Level 8","Location 6","Staff on Probation","Luciana Erika","Client Service Staff",Active
748,"Carrissa Germaine",2480,2099,1199,296,85,0,1132,52.74,1.16,"PC - 3","Level 8","Location 1","Staff on Probation","Hedi Elna","Client Service Staff",Active
749,"Charmion Suzy",2480,2171,1776,232,77,0,540,77.26,1.16,"PC - 6","Level 8","Location 3","Staff on Probation","Stacey Cassey","Client Service Staff",Active
750,"Rhianon Janey",2440,2184,1890,190,66,0,379,55.98,1.16,"PC - 5","Level 8","Location 1","Staff on Probation","Tommy Muire","Client Service Staff",Active
751,"Gabrila Odele",2248,2123,1580,72,53,201,723,54.1,1.16,"PC - 5","Level 6","Location 1","Staff on Probation","Agata Theodosia","Client Service Staff",Active
752,"Lyndsie Ciel",88,48,0,0,40,0,80,0,0.00,"PC - 6","Level 8","Location 3","Serving Notice Period","Lee Alfie","Client Service Staff",Resigned
753,"Selma Ninnette",2400,2083.5,1046,200,116.5,12,1057.5,44.61,1.08,"PC - 2","Level 6","Location 7","Staff on Probation","Beverley Laney","Client Service Staff",Active
754,"Dru Darleen",2360,1958,1142,296,106,0,824.5,57.3,1.08,"PC - 3","Level 8","Location 1","Staff on Probation","Rosabel Saidee","Client Service Staff",Active
755,"Tamma Judye",2360,2291,2108,32,37,0,183,73.12,1.08,"PC - 5","Level 6","Location 7","Staff on Probation","Willette Lil","Client Service Staff",Active
756,"Joyann Kellyann",2360,2039,1309.5,248,73,0,766.5,68.96,1.08,"PC - 6","Level 8","Location 7","Staff on Probation","Frances Mignonne","Client Service Staff",Active
757,"Orelia Dominique",2360,2085.2,2020,248,26.8,0,65.5,86.88,1.08,"PC - 1","Level 7","Location 3","Staff on Probation","Sybil Georgianna","Client Service Staff",Active
758,"Catriona Dolli",1656,1400,880,208,48,0,544,37.48,1.00,"PC - 6","Level 8","Location 1","Staff on Probation","Tiena Hatti","Client Service Staff","New Joiner"
759,"Shelba Sheena",2320,1979.5,1857.5,312,28.5,0,190,90.86,1.08,"PC - 3","Level 7","Location 1","Staff on Probation","Ophelie Jyoti","Client Service Staff",Active
760,"Melanie Reyna",2320,2101.5,408,160,58.5,0,1717.5,10.81,1.08,"PC - 3","Level 8","Location 1","Staff on Probation","Nanine Prudy","Client Service Staff",Active
761,"Zena Octavia",2032,1775,1420,192,65,0,363,78.99,1.08,"PC - 2","Level 7","Location 7","Staff on Probation","Dorotea Inger","Client Service Staff",Active
762,"Kacey Lida",2320,1966.5,1950.5,280,73.5,0,37,95.92,1.08,"PC - 2","Level 8","Location 9","Staff on Probation","Lenora Nydia","Client Service Staff",Active
763,"Jennie Milicent",2320,1805.5,1616,408,106.5,0,205.5,78.91,1.08,"PC - 2","Level 8","Location 9","Staff on Probation","Jolyn Briney","Client Service Staff",Active
764,"Melinde Ebonee",2320,1958.5,1773.5,264,97.5,0,236,74.59,1.08,"PC - 2","Level 8","Location 9","Staff on Probation","Orelee Hanna","Client Service Staff",Active
765,"Ursula Wilmette",2320,1871.5,1742,336,112.5,0,143.5,85.96,1.08,"PC - 2","Level 8","Location 9","Staff on Probation","Jolyn Briney","Client Service Staff",Active
766,"Dita Dulcea",2280,1899.5,1571,336,44.5,0,400.5,86.76,1.08,"PC - 5","Level 8","Location 7","Staff on Probation","Luciana Erika","Client Service Staff",Active
767,"Dorena Mahalia",2280,1957.5,1276,232,90.5,0,779,35.14,1.08,"PC - 6","Level 8","Location 1","Staff on Probation","Gert Editha","Client Service Staff",Active
768,"Xenia Madelina",2280,2037.5,1200,160,82.5,0,895,31.66,1.08,"PC - 6","Level 8","Location 1","Staff on Probation","Gert Editha","Client Service Staff",Active
769,"Sharleen Dorise",2280,1976,1438.75,216,88,0,697,39.22,1.08,"PC - 6","Level 8","Location 1","Staff on Probation","Gert Editha","Client Service Staff",Active
770,"Denice Sunny",2280,1900,1255.41,288,92,0,857,36.38,1.08,"PC - 6","Level 8","Location 1","Staff on Probation","Gert Editha","Client Service Staff",Active
771,"Letitia Anthe",2280,2025,1406,160,95,0,719,37.38,1.08,"PC - 6","Level 8","Location 1","Staff on Probation","Gert Editha","Client Service Staff",Active
772,"Modesty Hillary",2280,1944,1294,256,80,0,728,35.9,1.08,"PC - 6","Level 8","Location 1","Staff on Probation","Gert Editha","Client Service Staff",Active
773,"Cody Ashlan",2280,1926.75,412.75,284,69.25,0,1521,11.64,1.08,"PC - 2","Level 5","Location 7","Staff on Probation","Beverley Laney","Client Service Staff",Active
774,"Cecil Luci",2280,1955.5,1950,256,68.5,0,487,92.84,1.08,"PC - 2","Level 8","Location 7","Staff on Probation","Tamra Joelle","Client Service Staff",Active
775,"Shirley Jasmine",2280,1984,1612,240,56,0,372,74.06,1.08,"PC - 2","Level 7","Location 7","Staff on Probation","Nancee Deirdre","Client Service Staff",Active
776,"Adelaide Robina",2240,1972.5,1662,192,75.5,0,705.5,74.88,1.00,"PC - 3","Level 8","Location 1","Staff on Probation","Ophelie Jyoti","Client Service Staff","New Joiner"
777,"Robin Dido",2240,2000,1688,136,104,0,479,57.3,1.00,"PC - 3","Level 8","Location 1","Staff on Probation","Ali Elsinore","Client Service Staff","New Joiner"
778,"Eustacia Anna-Diane",2008,1761,1449,192,55,0,344,73.9,1.00,"PC - 3","Level 6","Location 1","Staff on Probation","Hedi Elna","Client Service Staff","New Joiner"
779,"Miriam Dot",2240,2045,1696,176,19,0,429,44.8,1.00,"PC - 5","Level 6","Location 3","Staff on Probation","Rina Debee","Client Service Staff","New Joiner"
780,"Rosene Nicoli",2240,2016,1296,208,16,0,720,65.38,1.00,"PC - 6","Level 7","Location 3","Staff on Probation","Lindy Marguerite","Client Service Staff","New Joiner"
781,"Francyne Brena",1600,1404,163,152,44,128,1113,6.38,1.00,"PC - 2","Level 5","Location 7","Staff on Probation","Dorotea Inger","Client Service Staff","New Joiner"
782,"Shell Ruperta",2240,2032.5,2228,152,55.5,0,130,84.35,1.00,"PC - 2","Level 8","Location 7","Staff on Probation","Dorotea Inger","Client Service Staff","New Joiner"
783,"Caressa Carolann",2200,1910,1736.5,200,90,0,286.5,48.05,1.00,"PC - 3","Level 8","Location 2","Staff on Probation","Cristina Maren","Client Service Staff","New Joiner"
784,"Lurleen Joela",2192,1862.25,2037,208,121.75,6,299,87.48,1.00,"PC - 2","Level 7","Location 7","Staff on Probation","Laetitia Yoshi","Client Service Staff","New Joiner"
785,"Maurine Jessika",2160,1984,1984,104,72,0,0,100,1.00,"PC - 6","Level 8","Location 1","Staff on Probation","Tiena Hatti","Client Service Staff","New Joiner"
786,"Ainsley Benedetta",1064,848,705,128,88,0,288,43.62,1.00,"PC - 3","Level 8","Location 1","Staff on Probation","Kristina Alleen","Client Service Staff","New Joiner"
787,"Calli Celene",2160,1952,1256,200,8,0,712,33.4,1.00,"PC - 5","Level 8","Location 3","Staff on Probation","Lian Harley","Client Service Staff","New Joiner"
788,"Myrna Brianna",1640,1560,1384,80,0,0,344,45.29,1.00,"PC - 3","Level 7","Location 4","Staff on Probation","Hedi Elna","Client Service Staff","New Joiner"
789,"Bibbye Isabelle",2120,1682,1554,400,38,0,218,46.7,1.00,"PC - 3","Level 7","Location 1","Staff on Probation","Eydie Francine","Client Service Staff","New Joiner"
790,"Vanessa Zingaro",1736,1553,934,144,39,0,626,30.07,6.92,"PC - 3","Level 5","Location 1","Confirmed Staff","Zaria Dawn","Client Service Staff",Active
791,"Refugia Morganti",520,480,0,40,0,0,480,0,5.50,"PC - 3","Level 5","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
792,"Angelita Arzu",680,680,690,0,0,0,0,50.74,4.75,"PC - 3","Level 6","Location 1","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
793,"Bess Sun",336,320,272,8,8,0,160,42.5,4.67,"PC - 3","Level 6","Location 1","Confirmed Staff","Rosalynd Catina","Client Service Staff",Active
794,"Rosanne Laster",688,653,445,32,3,0,0,34.08,4.00,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
795,"Dominic Kopczynski",1040,779.5,655.5,256,4.5,0,128,42.04,3.50,"PC - 3","Level 7","Location 1","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
796,"Eileen Gunn",1560,1376,1068,184,0,0,500,38.81,2.58,"PC - 3","Level 6","Location 1","Confirmed Staff","Hedi Elna","Client Service Staff",Active
797,"Lani Rubalcaba",680,592,552,88,0,0,40,46.62,2.16,"PC - 3","Level 7","Location 1","Confirmed Staff","Lane Ailina","Client Service Staff",Active
798,"Bell Stoffel",1920,1696,1758,224,0,0,36,51.83,1.92,"PC - 3","Level 7","Location 1","Confirmed Staff","Landon Browning","Client Service Staff",Active
799,"Mickey Cid",536,511,312,8,17,0,229,30.53,0.25,"PC - 1","Level 8","Location 3",Resigned,"Luciana Erika","Client Service Staff",Resigned
800,"Lashay Dieterich",2080,1784.5,1340,184,111.5,0,704,37.54,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Kati Rosalyn","Client Service Staff",Active
801,"Young Castellon",2080,1729.5,1544,232,118.5,120,236,44.64,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Naomi Rebekah","Client Service Staff",Active
802,"Florine Sassman",2080,1732.5,1516,216,131.5,104,262,43.75,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Naomi Rebekah","Client Service Staff",Active
803,"Eugenio Damato",2080,1758.5,1755,208,113.5,0,34,49.9,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Naomi Rebekah","Client Service Staff",Active
804,"Aleida Brose",2080,1782,1710,200,98,0,269,47.98,0.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Grata Rochella","Client Service Staff",Active
805,"Monty Petrin",1520,1453.5,1437,40,26.5,120,82,49.43,0.67,"PC - 2","Level 7","Location 9",Resigned,"Imelda Madalena","Client Service Staff",Resigned
806,"Shoshana Willeford",864,757,731,59,48,0,60,48.28,0.42,"PC - 3","Level 6","Location 1",Resigned,"Hedi Elna","Client Service Staff",Resigned
807,"Lionel Hennessy",2040,1858,1376,112,70,0,701,37.03,0.92,"PC - 3","Level 6","Location 2","Confirmed Staff","Kynthia Hildy","Client Service Staff",Active
808,"Alden Filippini",2040,1692,1647.5,232,116,40,279.5,48.68,0.92,"PC - 2","Level 7","Location 9","Confirmed Staff","Imelda Madalena","Client Service Staff",Active
809,"Edna Caso",2040,1780,1574,200,60,0,237,44.22,0.92,"PC - 2","Level 7","Location 9","Confirmed Staff","Imelda Madalena","Client Service Staff",Active
