STAFF,Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Apr Utilization%,May Utilization%,Jun Utilization%,Jul Utilization%,Aug Utilization%,Sep Utilization%,Oct Utilization%,Nov Utilization%,Dec Utilization%,Jan Utilization%,Feb Utilization%,Mar Utilization%,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%
Staff 16-17,82,PC - 6,Tiena Hatti,Level 4,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2011-06-30,Active,,136.31%,117.05%,114.77%,113.82%,118.48%,112.50%,107.14%,126.29%,160.29%,104.55%,100.00%,130.23%,2088.00,2019.00,2413.00,56.00,13.00,0.00,0.00,119.51%
Staff 16-17,83,PC - 2,Jolyn Briney,Level 5,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2011-06-30,Active,,1.22%,8.22%,11.49%,11.76%,34.96%,44.38%,223.44%,102.44%,150.75%,108.24%,103.75%,52.68%,2088.00,1815.50,1261.40,220.00,52.50,964.50,213.00,69.48%
Staff 16-17,84,PC - 1,Kary Mindy,Level 6,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2011-06-30,Active,,76.19%,89.74%,122.73%,86.67%,41.25%,101.28%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,988.00,856.00,1100.00,0.00,0.00,136.00,86.64%
Staff 16-17,85,PC - 1,Trix Flori,Level 7,Location 3,Client Service Staff,Serving Notice Period,Kippy Marquita,2011-06-30,Resigned,2016-04-30,16.67%,0,0,0,0,0,0,0,0,0,0,0,48.00,48.00,8.00,0.00,0.00,0.00,40.00,16.67%
Staff 16-17,86,PC - 1,Claudia Meaghan,Level 5,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,2011-06-30,Active,,114.29%,109.09%,127.27%,53.62%,100.00%,105.88%,95.00%,94.44%,112.50%,89.47%,111.11%,100.00%,2088.00,1741.00,1805.00,344.00,3.00,0.00,32.00,103.68%
Staff 16-17,87,PC - 3,Dacie Lucia,Level 6,Location 2,Client Service Staff,Serving Notice Period,Kynthia Hildy,2011-06-30,Resigned,2017-02-28,100.00%,86.67%,61.90%,6.37%,168.75%,104.76%,95.24%,88.24%,88.06%,100.00%,100.00%,0.00%,1904.00,1579.00,1430.00,304.00,21.00,0.00,181.00,90.56%
Staff 16-17,88,PC - 1,Dionne Ronna,Level 5,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2011-06-30,Active,,100.00%,43.48%,27.27%,160.00%,47.62%,37.50%,119.05%,85.00%,109.14%,100.00%,100.00%,100.00%,2088.00,1839.50,1551.50,248.00,0.50,0.00,296.00,84.34%
Staff 16-17,89,PC - 3,Estrellita Tawsha,Level 7,Location 1,Client Service Staff,Serving Notice Period,Agata Theodosia,2011-06-30,Resigned,2016-04-30,72.73%,0,0,0,0,0,0,0,0,0,0,0,88.00,88.00,64.00,0.00,0.00,0.00,24.00,72.73%
Staff 16-17,90,PC - 1,Sibel Wrennie,Level 5,Location 3,Client Service Staff,Serving Notice Period,Rina Debee,2011-06-30,Resigned,2017-04-30,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,600.00,0.00,1488.00,0.00,600.00,0.00,0.00%
Staff 16-17,91,PC - 2,Jacquelyn Callie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2011-06-30,Active,,105.26%,94.74%,90.17%,5.36%,9.09%,0.00%,52.63%,95.60%,75.00%,90.48%,83.92%,101.70%,2088.00,1763.00,1261.00,260.00,65.00,148.00,411.00,71.53%
Staff 16-17,92,PC - 2,Brunhilda Rakel,Level 7,Location 7,Client Service Staff,Serving Notice Period,Marys Essy,2011-07-31,Resigned,2017-02-28,106.55%,100.00%,102.27%,4.76%,130.25%,109.09%,171.43%,88.24%,61.11%,68.18%,125.00%,0,1848.00,1752.00,1689.40,96.00,0.00,0.00,288.00,96.43%
Staff 16-17,93,PC - 6,Gert Editha,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2011-08-31,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.12%,2.76%,76.74%,2088.00,483.00,170.00,1576.00,29.00,60.00,258.00,35.20%
Staff 16-17,94,PC - 1,Ezmeralda Nisse,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2011-08-31,Active,,33.33%,54.55%,109.09%,100.00%,85.00%,92.26%,85.71%,90.00%,117.65%,62.50%,50.00%,65.91%,2088.00,1901.00,1502.00,184.00,3.00,0.00,415.00,79.01%
Staff 16-17,95,PC - 2,Naomi Rebekah,Level 5,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2011-08-31,Active,,100.78%,94.74%,107.95%,119.74%,100.00%,109.76%,105.31%,90.00%,119.12%,100.00%,100.00%,124.72%,2088.00,1876.00,1991.00,184.00,28.00,0.00,0.00,106.13%
Staff 16-17,96,PC - 2,Jayme Linzy,Level 6,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Sile Lorrie,2011-09-30,Secondment,,100.00%,86.36%,83.33%,125.00%,52.94%,0.00%,133.33%,0,0,0,0,0,1200.00,1080.00,904.00,120.00,0.00,0.00,184.00,83.70%
Staff 16-17,97,PC - 3,Rosalynd Catina,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-09-30,Active,,95.24%,100.00%,97.96%,100.00%,100.56%,100.00%,94.74%,90.48%,71.43%,48.78%,44.74%,128.21%,2088.00,1814.50,1640.00,244.00,29.50,0.00,291.50,90.38%
Staff 16-17,98,PC - 2,Eba Caroljean,Level 6,Location 9,Client Service Staff,Serving Notice Period,Marleah Bernadina,2011-09-30,Resigned,2016-09-30,75.00%,34.85%,128.31%,7.69%,17.39%,12.50%,0,0,0,0,0,0,976.00,850.00,432.00,96.00,30.00,30.00,434.00,50.82%
Staff 16-17,99,PC - 3,Marybeth Cornelia,Level 6,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-09-30,Active,,100.00%,100.00%,100.00%,71.48%,126.83%,118.31%,100.00%,90.00%,114.94%,101.33%,63.58%,135.00%,2088.00,1853.50,1893.00,192.00,42.50,0.00,11.50,102.13%
Staff 16-17,100,PC - 2,Nancee Deirdre,Level 4,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2011-09-30,Active,,103.33%,108.33%,125.00%,73.33%,83.93%,55.49%,80.00%,65.12%,96.09%,35.98%,25.00%,53.68%,2088.00,1726.00,1303.00,304.00,58.00,0.00,531.50,75.49%
Staff 16-17,101,PC - 5,Orsa Margeaux,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2011-11-30,Active,,58.13%,5.68%,25.74%,22.02%,17.26%,12.50%,12.00%,13.28%,41.91%,78.98%,26.39%,74.18%,2088.00,1900.00,630.00,168.00,20.00,0.00,1286.00,33.16%
Staff 16-17,102,PC - 3,Enrica Tildi,Level 6,Location 1,Client Service Staff,Serving Notice Period,Cordey Sofia,2011-11-30,Resigned,2016-11-30,60.00%,132.95%,118.69%,4.76%,34.78%,141.38%,165.33%,94.12%,0,0,0,0,1368.00,1316.50,1224.00,40.00,11.50,0.00,299.50,92.97%
Staff 16-17,103,PC - 5,Lian Harley,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2011-11-30,Active,,0.00%,18.18%,22.73%,71.43%,35.71%,22.73%,0.00%,20.00%,0.00%,22.73%,0.00%,0.00%,2088.00,2008.00,364.00,72.00,8.00,0.00,1644.00,18.13%
Staff 16-17,104,PC - 3,Ali Elsinore,Level 5,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,2011-12-31,Active,,33.33%,12.50%,50.48%,21.43%,119.87%,74.42%,42.47%,29.38%,38.25%,11.90%,0.00%,56.32%,2088.00,1805.00,735.50,256.00,27.00,0.00,1070.50,40.75%
Staff 16-17,105,PC - 2,Dore Natalya,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2012-01-31,Active,,1.35%,7.50%,12.50%,30.50%,6.25%,2.44%,0.63%,10.00%,244.12%,38.69%,0.00%,35.23%,2088.00,1893.00,568.00,164.00,31.00,707.00,722.00,30.01%
Staff 16-17,106,PC - 6,Tamarra Brietta,Level 6,Location 7,Client Service Staff,Serving Notice Period,Pamelina Shalna,2012-01-31,Resigned,2016-09-30,142.11%,94.12%,94.44%,120.00%,22.73%,0.00%,0,0,0,0,0,0,1016.00,828.00,604.00,128.00,60.00,0.00,308.00,72.95%
Staff 16-17,107,PC - 5,Willette Lil,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2012-01-31,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,106.55%,0.00%,0.00%,0.00%,0.00%,5.42%,2088.00,1918.00,188.00,170.00,0.00,1789.00,0.00,9.80%
Staff 16-17,108,PC - 6,Sashenka Channa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Frances Mignonne,2012-01-31,Active,,0.00%,113.64%,-66.67%,115.00%,85.71%,18.18%,23.81%,163.64%,150.67%,133.33%,84.62%,110.34%,2088.00,1857.50,1464.00,224.00,6.50,0.00,552.00,78.82%
Staff 16-17,109,PC - 3,Deloris Gabriella,Level 5,Location 5,Client Service Staff,Confirmed Staff,Kynthia Hildy,2012-02-29,Active,,35.00%,4.76%,4.55%,0.00%,82.95%,92.05%,73.03%,95.45%,119.85%,16.07%,0.00%,34.07%,2088.00,1929.50,911.00,152.00,6.50,282.00,847.50,47.21%
Staff 16-17,110,PC - 3,Zaneta Arlette,Level 5,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2012-03-31,Active,,100.00%,100.00%,100.00%,100.00%,100.00%,112.20%,105.56%,90.48%,128.57%,100.00%,100.00%,62.64%,2088.00,1818.00,1778.00,264.00,6.00,0.00,152.00,97.80%
Staff 16-17,111,PC - 2,Hattie Eve,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2012-04-30,Active,,100.00%,100.00%,100.00%,57.89%,61.90%,9.76%,0.00%,47.06%,117.65%,100.00%,89.47%,109.09%,2088.00,1948.00,1456.00,136.00,4.00,0.00,492.00,74.74%
Staff 16-17,112,PC - 2,Giselle Trixy,Level 6,Location 7,Client Service Staff,Serving Notice Period,Trenna Mureil,2012-04-30,Resigned,2016-10-31,75.00%,121.05%,105.36%,74.52%,100.00%,105.41%,93.33%,0,0,0,0,0,1176.00,1073.00,1034.00,76.00,27.00,0.00,87.00,96.37%
Staff 16-17,113,PC - 5,Beryle Lisha,Level 5,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2012-04-30,Active,,100.00%,100.00%,85.71%,95.18%,100.00%,90.00%,94.44%,85.71%,111.50%,0.00%,125.00%,71.43%,2088.00,1880.00,1644.00,192.00,16.00,0.00,268.50,87.45%
Staff 16-17,114,PC - 3,Iormina Lucienne,Level 5,Location 1,Client Service Staff,Confirmed Staff,Trudey Lissi,2012-04-30,Active,,90.48%,-68.18%,3.75%,0.00%,3.75%,24.43%,0.00%,0.00%,0.00%,66.67%,26.32%,100.00%,2088.00,1950.00,403.00,120.00,18.00,214.00,1371.00,20.67%
Staff 16-17,115,PC - 3,Mathilda Tomi,Level 6,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2012-04-30,Active,,100.00%,75.00%,105.88%,100.00%,114.69%,108.43%,95.24%,90.48%,118.75%,95.00%,100.00%,94.74%,2088.00,1798.00,1793.00,252.00,38.00,0.00,40.00,99.72%
Staff 16-17,116,PC - 2,Amara Kamila,Level 6,Location 7,Client Service Staff,Serving Notice Period,Trenna Mureil,2012-04-30,Resigned,2017-03-31,96.00%,89.47%,109.09%,14.38%,73.68%,202.63%,95.00%,94.12%,71.43%,123.53%,60.00%,21.43%,2072.00,1764.00,1527.00,232.00,76.00,40.00,240.00,86.56%
Staff 16-17,117,PC - 6,Hermine Malinde,Level 6,Location 1,Client Service Staff,Serving Notice Period,Tallia Eyde,2012-05-31,Resigned,2016-08-31,76.19%,0.00%,0.00%,71.43%,0.00%,0,0,0,0,0,0,0,768.00,768.00,248.00,0.00,0.00,0.00,520.00,32.29%
Staff 16-17,118,PC - 3,Suzi Catherin,Level 7,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,2012-05-31,Active,,100.00%,68.18%,128.57%,110.07%,82.35%,58.78%,42.11%,173.68%,120.56%,63.93%,27.50%,186.08%,2088.00,1773.75,1719.75,240.00,74.25,0.00,217.00,96.96%
Staff 16-17,119,PC - 3,Eydie Francine,Level 5,Location 1,Client Service Staff,Confirmed Staff,Lenora Nydia,2012-05-31,Active,,100.00%,47.62%,0.00%,105.00%,13.64%,72.73%,52.63%,26.25%,39.22%,58.33%,45.00%,63.04%,2088.00,1950.00,1016.00,136.00,2.00,0.00,934.00,52.10%
Staff 16-17,120,PC - 2,Tersina Cecily,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2012-05-31,Active,,109.21%,100.00%,44.80%,0.00%,157.14%,100.00%,95.00%,95.00%,82.29%,95.18%,134.82%,100.00%,2088.00,1688.50,1560.50,304.00,95.50,0.00,241.00,92.42%
Staff 16-17,121,PC - 1,Conni Athene,Level 5,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2012-05-31,Active,,89.47%,90.91%,100.00%,107.01%,100.00%,104.55%,98.16%,86.36%,40.25%,90.14%,95.00%,100.00%,2088.00,1844.50,1735.00,232.00,11.50,0.00,157.00,94.06%
Staff 16-17,122,PC - 1,Sybil Georgianna,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2012-05-31,Active,,88.10%,77.27%,63.64%,0.00%,26.32%,32.14%,57.14%,51.25%,42.65%,28.57%,0.00%,52.17%,2088.00,1960.00,870.00,128.00,0.00,140.00,950.00,44.39%
Staff 16-17,123,PC - 3,Theo Alyssa,Level 6,Location 1,Client Service Staff,Serving Notice Period,Revkah Stephie,2012-06-30,Resigned,2016-11-30,100.00%,90.91%,-9.09%,110.53%,0.00%,0.00%,0.00%,166.67%,0,0,0,0,1288.00,1272.00,600.00,8.00,8.00,32.00,648.00,47.17%
Staff 16-17,124,PC - 6,Stacey Cassey,Level 5,Location 3,Client Service Staff,Confirmed Staff,Tallia Eyde,2012-06-30,Active,,54.76%,47.73%,50.00%,28.57%,78.95%,5.68%,0.00%,145.00%,0.00%,172.73%,60.00%,110.00%,2088.00,1960.00,1242.00,128.00,0.00,0.00,718.00,63.37%
Staff 16-17,125,PC - 3,Vivyanne Mia,Level 6,Location 5,Client Service Staff,Confirmed Staff,Kylen Evania,2012-06-30,Active,,100.00%,100.00%,100.00%,100.00%,0.00%,4.49%,52.63%,89.57%,101.71%,75.32%,41.18%,92.39%,2088.00,1769.50,1390.00,300.00,18.50,39.00,367.00,78.55%
Staff 16-17,126,PC - 3,Pier Valenka,Level 7,Location 1,Client Service Staff,Confirmed Staff,Rosabel Saidee,2012-06-30,Active,,76.19%,115.79%,107.29%,28.57%,136.36%,100.00%,0.00%,0.00%,0.00%,0.00%,23.53%,69.57%,2088.00,1195.50,976.00,888.00,4.50,0.00,227.50,81.64%
Staff 16-17,127,PC - 2,Dorene Esmaria,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2012-07-31,Active,,100.00%,0.00%,63.64%,100.00%,100.00%,100.00%,95.24%,95.45%,111.76%,89.47%,110.00%,100.00%,2088.00,1840.00,1720.00,240.00,8.00,0.00,136.00,93.48%
Staff 16-17,128,PC - 3,Nerita Anet,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2012-07-31,Active,,14.88%,40.00%,15.91%,14.15%,20.45%,4.48%,15.82%,22.62%,19.61%,11.31%,2.50%,64.29%,2088.00,1933.00,409.00,144.00,11.00,878.50,687.50,21.16%
Staff 16-17,129,PC - 6,Dael Miranda,Level 6,Location 3,Client Service Staff,Confirmed Staff,Lindy Marguerite,2012-07-31,Active,,0.00%,13.64%,109.09%,-19.05%,143.48%,100.00%,95.24%,61.54%,100.00%,100.00%,75.00%,56.52%,2088.00,1792.00,1288.00,296.00,0.00,0.00,496.00,71.88%
Staff 16-17,130,PC - 6,Cinnamon Adelaida,Level 6,Location 3,Client Service Staff,Confirmed Staff,Lindy Marguerite,2012-07-31,Active,,100.00%,100.00%,100.00%,76.19%,73.68%,65.00%,0.00%,155.56%,78.98%,100.00%,84.21%,77.78%,2088.00,1872.00,1555.00,216.00,0.00,40.00,277.00,83.07%
Staff 16-17,131,PC - 3,Alicea Doroteya,Level 7,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2012-07-31,Active,,100.00%,90.00%,100.00%,31.58%,175.00%,95.45%,95.00%,90.48%,121.43%,95.45%,94.44%,52.94%,2088.00,1872.00,1784.00,200.00,16.00,0.00,160.00,95.30%
Staff 16-17,132,PC - 2,Netty Florentia,Level 7,Location 7,Client Service Staff,Serving Notice Period,Terza Gwyn,2012-07-31,Resigned,2016-11-30,100.00%,100.00%,-33.33%,100.00%,18.29%,70.00%,0.00%,0.00%,0,0,0,0,1248.00,1031.00,632.00,216.00,1.00,0.00,413.00,61.30%
Staff 16-17,133,PC - 3,Kylen Evania,Level 4,Location 5,Client Service Staff,Confirmed Staff,Barbee Joey,2012-08-31,Active,,5.26%,0.00%,0.00%,0.00%,0.00%,2.78%,0.00%,4.55%,11.76%,10.00%,15.79%,0.00%,2088.00,1873.50,76.00,212.00,2.50,1798.00,45.50,4.06%
Staff 16-17,134,PC - 3,Dyana Niki,Level 6,Location 2,Client Service Staff,Serving Notice Period,Vonni Bethena,2012-08-31,Resigned,2016-07-31,55.56%,122.73%,100.00%,33.33%,0,0,0,0,0,0,0,0,688.00,664.00,528.00,24.00,0.00,0.00,136.00,79.52%
Staff 16-17,135,PC - 7,Doralyn Marylynne,Level 7,Location 6,Client Service Staff,Serving Notice Period,Bernice Andrea,2012-09-30,Resigned,2017-03-31,0.00%,0.00%,0.00%,106.25%,109.78%,26.67%,0.00%,50.00%,147.16%,112.50%,0.00%,5.26%,2056.00,1725.00,957.00,328.00,3.00,0.00,789.00,55.48%
Staff 16-17,136,PC - 1,Roberta Karylin,Level 7,Location 3,Client Service Staff,Serving Notice Period,Jillana Vivi,2012-10-31,Resigned,2017-04-30,100.00%,64.38%,103.29%,87.50%,85.93%,84.09%,100.00%,89.47%,33.33%,83.33%,48.53%,39.13%,2088.00,1839.00,1414.00,232.00,17.00,0.00,497.00,76.89%
Staff 16-17,137,PC - 1,Tamera Daune,Level 5,Location 3,Client Service Staff,Serving Notice Period,Kippy Marquita,2012-10-31,Resigned,2016-12-31,100.60%,100.00%,81.82%,63.33%,85.71%,80.00%,94.12%,90.00%,83.33%,0,0,0,1488.00,1320.00,1157.00,168.00,0.00,0.00,164.00,87.65%
Staff 16-17,138,PC - 1,Marris Gilda,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2012-11-30,Active,,76.19%,113.64%,109.09%,100.00%,100.00%,104.55%,95.00%,91.67%,109.09%,11.90%,0.00%,21.74%,2088.00,1936.00,1524.00,152.00,0.00,0.00,420.00,78.72%
Staff 16-17,139,PC - 2,Dora Jobi,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2012-11-30,Active,,100.00%,105.00%,105.56%,100.00%,100.00%,111.39%,50.00%,0.00%,129.41%,0.00%,135.00%,95.45%,2088.00,1779.50,1560.00,256.00,52.50,0.00,281.50,87.67%
Staff 16-17,140,PC - 1,Vinni Calypso,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2012-12-31,Active,,100.00%,27.27%,18.75%,50.63%,52.63%,52.63%,50.00%,0.00%,61.54%,77.27%,66.67%,72.73%,2088.00,1832.00,969.00,240.00,16.00,0.00,919.00,52.89%
Staff 16-17,141,PC - 1,Cherry Fancie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2012-12-31,Active,,76.19%,25.00%,61.90%,60.00%,62.50%,100.00%,61.90%,75.00%,66.67%,22.73%,94.74%,81.95%,2088.00,1893.00,1236.00,192.00,3.00,337.00,320.00,65.29%
Staff 16-17,142,PC - 5,Holli Lizabeth,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2013-01-31,Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,65.00%,0.00%,204.55%,110.00%,101.10%,2088.00,1940.50,1951.00,136.00,11.50,0.00,88.00,100.54%
Staff 16-17,143,PC - 5,Karlyn Florette,Level 6,Location 3,Client Service Staff,Serving Notice Period,Rina Debee,2013-01-31,Resigned,2016-05-31,161.90%,110.00%,0,0,0,0,0,0,0,0,0,0,328.00,328.00,448.00,0.00,0.00,0.00,16.00,136.59%
Staff 16-17,144,PC - 6,Agna Matelda,Level 5,Location 7,Client Service Staff,Serving Notice Period,Tallia Eyde,2013-02-28,Resigned,2016-08-31,-15.00%,18.18%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,872.00,776.00,8.00,24.00,72.00,452.00,340.00,1.03%
Staff 16-17,145,PC - 3,Libbey Rita,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2013-03-31,Active,,80.95%,100.00%,100.00%,100.00%,100.00%,104.55%,94.59%,95.00%,109.09%,100.00%,100.00%,76.47%,2088.00,1860.00,1804.00,224.00,4.00,0.00,64.00,96.99%
Staff 16-17,146,PC - 3,Rosabel Saidee,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2013-04-30,Active,,52.63%,0.00%,0.00%,0.00%,18.18%,38.64%,10.53%,45.00%,0.00%,0.00%,26.32%,39.13%,2088.00,1964.00,380.00,124.00,0.00,288.00,1318.00,19.35%
Staff 16-17,147,PC - 3,Hollyanne Bonnie,Level 7,Location 2,Client Service Staff,Serving Notice Period,Vonni Bethena,2013-04-30,Resigned,2016-04-30,0.00%,0,0,0,0,0,0,0,0,0,0,0,128.00,120.00,0.00,8.00,0.00,0.00,120.00,0.00%
Staff 16-17,148,PC - 3,Nomi Anabella,Level 7,Location 2,Client Service Staff,Serving Notice Period,Kynthia Hildy,2013-04-30,Resigned,2016-04-30,40.00%,0,0,0,0,0,0,0,0,0,0,0,160.00,160.00,64.00,0.00,0.00,0.00,104.00,40.00%
Staff 16-17,149,PC - 3,Kaela Chad,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2013-04-30,Active,,64.86%,92.05%,48.55%,122.22%,100.00%,100.00%,94.44%,95.00%,111.76%,100.00%,100.00%,77.27%,2088.00,1857.50,1691.50,224.00,6.50,0.00,282.00,91.06%
Staff 16-17,150,PC - 2,Wynn Sandra,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2013-04-30,Active,,100.66%,88.89%,83.64%,2.01%,143.71%,107.89%,65.00%,26.32%,117.65%,120.60%,100.00%,100.00%,2088.00,1872.50,1660.00,164.00,51.50,21.00,341.50,88.65%
Staff 16-17,151,PC - 2,Chrissy Cassie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2013-04-30,Active,,100.69%,85.71%,104.55%,94.90%,100.00%,100.00%,100.00%,92.50%,130.47%,103.65%,100.00%,104.55%,2088.00,1885.50,1903.00,184.00,18.50,0.00,29.00,100.93%
Staff 16-17,152,PC - 3,Eilis Carina,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2013-05-31,Active,,0.00%,101.41%,97.75%,28.57%,169.14%,109.52%,26.67%,33.33%,210.00%,101.32%,100.00%,91.69%,2088.00,1813.00,1687.50,264.00,11.00,0.00,275.50,93.08%
Staff 16-17,153,PC - 3,Joell Essa,Level 7,Location 2,Client Service Staff,Serving Notice Period,Kynthia Hildy,2013-05-31,Resigned,2016-08-31,100.00%,100.00%,100.00%,100.00%,0.00%,0,0,0,0,0,0,0,832.00,632.00,608.00,200.00,0.00,0.00,0.00,96.20%
Staff 16-17,154,PC - 1,Enrika Vera,Level 7,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,2013-05-31,Active,,47.62%,90.48%,72.48%,50.00%,0.00%,115.61%,70.00%,29.41%,100.39%,90.48%,44.44%,0.00%,2088.00,1871.50,1112.00,208.00,8.50,0.00,796.00,59.42%
Staff 16-17,155,PC - 1,Marietta Alyss,Level 6,Location 3,Client Service Staff,Confirmed Staff,Erminie Ericka,2013-05-31,Active,,95.24%,100.00%,101.73%,100.00%,81.89%,95.45%,95.00%,94.74%,111.76%,100.57%,94.74%,0.00%,2088.00,1803.00,1680.00,264.00,21.00,0.00,128.00,93.18%
Staff 16-17,156,PC - 5,Reba Samaria,Level 6,Location 3,Client Service Staff,Serving Notice Period,Orsa Margeaux,2013-05-31,Resigned,2016-05-31,0.00%,90.00%,0,0,0,0,0,0,0,0,0,0,328.00,328.00,144.00,0.00,0.00,0.00,184.00,43.90%
Staff 16-17,157,PC - 2,Ariadne Aila,Level 7,Location 9,Client Service Staff,Serving Notice Period,Jolyn Briney,2013-05-31,Resigned,2017-03-31,100.00%,100.00%,81.82%,123.61%,100.57%,90.48%,100.00%,96.53%,114.71%,100.00%,88.24%,25.00%,2000.00,1783.00,1697.00,208.00,9.00,0.00,136.00,95.18%
Staff 16-17,158,PC - 2,Breena Clarita,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2013-05-31,Active,,95.00%,90.91%,110.53%,100.00%,50.00%,179.71%,100.00%,40.00%,117.65%,131.58%,100.00%,100.00%,2088.00,1738.00,1780.00,328.00,22.00,0.00,40.00,102.42%
Staff 16-17,159,PC - 2,Grata Rochella,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2013-05-31,Active,,100.00%,71.88%,131.58%,75.00%,76.19%,45.07%,93.45%,102.50%,75.79%,95.24%,47.37%,100.00%,2088.00,1757.50,1500.50,284.00,46.50,0.00,297.50,85.38%
Staff 16-17,160,PC - 2,Chicky Karita,Level 6,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2013-05-31,Active,,31.58%,89.47%,85.54%,88.89%,90.00%,82.35%,133.33%,62.84%,145.90%,100.00%,100.00%,81.82%,2088.00,1679.50,1487.50,368.00,40.50,0.00,232.00,88.57%
Staff 16-17,161,PC - 2,Martina Charline,Level 6,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2013-05-31,Active,,65.00%,105.95%,110.34%,50.00%,-30.95%,47.62%,92.86%,90.00%,167.07%,102.70%,100.00%,100.00%,2088.00,1862.50,1510.00,192.00,33.50,0.00,450.00,81.07%
Staff 16-17,162,PC - 3,Roslyn Donielle,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2013-05-31,Active,,50.00%,136.36%,48.81%,83.33%,100.00%,68.25%,95.24%,101.70%,138.54%,117.86%,118.75%,97.50%,2088.00,1865.50,1798.00,216.00,6.50,0.00,231.50,96.38%
Staff 16-17,163,PC - 3,Gabriell Kimberlyn,Level 6,Location 2,Client Service Staff,Confirmed Staff,Rosabel Saidee,2013-05-31,Active,,100.00%,100.00%,100.00%,100.00%,100.00%,104.76%,42.11%,68.18%,0.00%,0.00%,120.00%,65.22%,2088.00,1816.00,1384.00,272.00,0.00,0.00,462.00,76.21%
Staff 16-17,164,PC - 3,Brittney Drusie,Level 6,Location 1,Client Service Staff,Serving Notice Period,Cordey Sofia,2013-05-31,Resigned,2016-05-31,76.19%,0.00%,0,0,0,0,0,0,0,0,0,0,192.00,192.00,128.00,0.00,0.00,0.00,80.00,66.67%
